,Watches,MRP,Offer_Price,Discount,URl
0,CHIWAY ID-116 Plus Bluetooth Smart Fitness Watch with Active Heart Rate Activity Smartwatch,"₹3,099",₹490,84% off,https://flipkart.com/chiway-id-116-plus-bluetooth-smart-fitness-watch-active-heart-rate-activity-smartwatch/p/itm71bb55e5367cc?pid=SMWGBSGWDBYW4HCE&lid=LSTSMWGBSGWDBYW4HCEYBDSLY&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGBSGWDBYW4HCE.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
1,Noise ColorFit Qube SpO2 Charcoal Black Smartwatch,"₹4,999","₹1,999",60% off,https://flipkart.com/noise-colorfit-qube-spo2-charcoal-black-smartwatch/p/itm2d9dc41a02202?pid=SMWG6RB5FX7RXWZ8&lid=LSTSMWG6RB5FX7RXWZ8MROVKI&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6RB5FX7RXWZ8.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
2,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWG3EC4TYBGPW8F&lid=LSTSMWG3EC4TYBGPW8FOMLNC7&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG3EC4TYBGPW8F.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
3,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWFW8HFSDGTX5DG&lid=LSTSMWFW8HFSDGTX5DGUIDVCR&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWFW8HFSDGTX5DG.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
4,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWG3EC4KCEFNNKH&lid=LSTSMWG3EC4KCEFNNKHJXJOIN&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG3EC4KCEFNNKH.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
5,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWFW8HFZGQRNK3H&lid=LSTSMWFW8HFZGQRNK3HJPS86Z&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWFW8HFZGQRNK3H.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
6,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWGYNGHTNAWKDFA&lid=LSTSMWGYNGHTNAWKDFAJA6GMV&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGYNGHTNAWKDFA.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
7,"boAt Storm 1.3"" CurvedDisplay Smartwatch","₹5,990","₹2,799",53% off,https://flipkart.com/boat-storm-1-3-curveddisplay-smartwatch/p/itm215a48c547168?pid=SMWG3EC4YGGEKAMG&lid=LSTSMWG3EC4YGGEKAMGVE6LAK&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG3EC4YGGEKAMG.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
8,Bymaya ID116 Bluetooth Smartwatch Wireless Smartwatch,"₹2,499",₹490,80% off,https://flipkart.com/bymaya-id116-bluetooth-smartwatch-wireless/p/itm204377fb2ee63?pid=SMWG9VPU6DBWRHCR&lid=LSTSMWG9VPU6DBWRHCRFUPQSU&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG9VPU6DBWRHCR.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
9,Noise ColorFit Brio Smartwatch,"₹5,999","₹2,999",50% off,https://flipkart.com/noise-colorfit-brio-smartwatch/p/itmfe15b0d7dd2f4?pid=SMWG6MRHD6KGHMHQ&lid=LSTSMWG6MRHD6KGHMHQAQ5N1T&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6MRHD6KGHMHQ.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
10,mizco DZ09 Black 4G Smartwatch,"₹1,199",₹869,27% off,https://flipkart.com/mizco-dz09-black-4g-smartwatch/p/itmfcffefe9379a9?pid=SMWFHYCFC9NWAHH8&lid=LSTSMWFHYCFC9NWAHH8I9XVZW&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWFHYCFC9NWAHH8.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
11,Noise ColorFit Qube SpO2 Beige Gold Smartwatch,"₹4,999","₹1,999",60% off,https://flipkart.com/noise-colorfit-qube-spo2-beige-gold-smartwatch/p/itm9927bceb148ce?pid=SMWG6RAWQJFED4H9&lid=LSTSMWG6RAWQJFED4H9ABOLRE&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWG6RAWQJFED4H9.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
12,Fire-Boltt Ninja Call 2 (1.7 inch) Bluetooth Calling with 27 Sports Modes Smartwatch,"₹7,999","₹2,999",62% off,https://flipkart.com/fire-boltt-ninja-call-2-1-7-inch-bluetooth-calling-27-sports-modes-smartwatch/p/itm22d13cc803610?pid=SMWGBYUC8ZRGBJFV&lid=LSTSMWGBYUC8ZRGBJFV5SW2TP&marketplace=FLIPKART&q=smartwatches&store=ajy%2Fbuh&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=09ef761d-7a60-446d-861e-25d855263ff0.SMWGBYUC8ZRGBJFV.SEARCH&ppt=None&ppn=None&ssid=e31xx0yxts0000001646647801484&qH=fbe9e8df937d2d17
